,track_id,track_name,artist,album_type,release_date,decade,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,Creedence Clearwater Revival,album,1969-11-02,1960,82,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,140773,4
1,20OFwXhEXf12DzwXmaV7fj,Bad Moon Rising,Creedence Clearwater Revival,album,1969-08-03,1960,79,0.508,0.774,2,-5.973,1,0.0321,0.0586,4.87e-06,0.063,0.942,178.946,141600,4
2,1qRA5BS78u3gME0loMl9AA,For What It's Worth,Buffalo Springfield,album,1966-12-05,1960,76,0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,153693,4
3,6YffUZJ2R06kyxyK6onezL,Ring of Fire,Johnny Cash,compilation,1963-08-06,1960,71,0.659,0.585,7,-8.189,1,0.0288,0.623,0.000213,0.348,0.784,104.111,158427,4
4,2fDHuS1PTkHBbCWWZF1ph9,"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA - January 1968",Johnny Cash,album,1968-05-01,1960,69,0.621,0.524,0,-15.269,1,0.0803,0.0652,0.00199,0.893,0.889,110.586,162653,4
5,0P7DoyGrr4Wp9w5TotEtUC,The Weight - Remastered 2000,The Band,album,1968-07-01,1960,73,0.63,0.551,9,-9.28,1,0.0549,0.373,5.75e-05,0.103,0.518,143.868,274493,4
6,2gE95JskwQ1pCACTpGe1Db,Down On The Corner,Creedence Clearwater Revival,album,1969-11-02,1960,73,0.858,0.544,0,-9.289,1,0.0751,0.583,0.00109,0.0707,0.874,108.217,166280,4
7,4c4jJJoaiY21t2TyRZgdWS,Magic Carpet Ride,Steppenwolf,album,1968-10-01,1960,70,0.64,0.651,4,-14.981,0,0.0517,0.142,0.28,0.0341,0.801,111.676,271573,4
8,1udKn1oNKYQSQ9OmiIWCMu,Do You Believe in Magic?,The Lovin' Spoonful,album,1965-11,1960,70,0.553,0.738,0,-7.963,1,0.0457,0.213,0.0,0.339,0.759,138.602,125827,4
9,3XG7bMVcMWLIn2k9jLAaAt,King Of The Road,Roger Miller,album,1965-01-01,1960,65,0.67,0.272,11,-13.699,1,0.0704,0.717,0.0,0.178,0.613,117.996,147307,4
10,3lN8PP6R2IxbLP05QpYXng,Born To Be Wild - Single Version,Steppenwolf,album,1968-01-01,1960,67,0.439,0.734,2,-12.168,1,0.097,0.262,0.333,0.244,0.54,145.703,212893,4
11,3G7tRC24Uh09Hmp1KZ7LQ2,I'm a Believer - 2006 Remaster,The Monkees,album,1967-01-09,1960,74,0.526,0.775,0,-6.05,1,0.0352,0.707,2.05e-05,0.217,0.962,80.106,167373,4
12,3AhXZa8sUQht0UEdBJgpGc,Like a Rolling Stone,Bob Dylan,album,1965-08-30,1960,73,0.482,0.721,0,-6.839,1,0.0321,0.731,0.0,0.189,0.557,95.263,369600,4
13,2EZc13S7YRi6bTS3SKteRN,Proud Mary,Creedence Clearwater Revival,album,1969-01-05,1960,62,0.72,0.391,2,-16.595,1,0.0342,0.163,8.29e-05,0.046,0.786,120.794,187227,4
14,0mLoTgCB8oU0sJGojRtvDu,Gentle On My Mind - Remastered 2001,Glen Campbell,album,1967,1960,63,0.597,0.415,3,-13.799,1,0.0323,0.189,0.0,0.123,0.826,108.987,178627,4
15,11DjZQEZ69EXLo77HVj6yW,Green River,Creedence Clearwater Revival,album,1969-08-03,1960,69,0.702,0.772,9,-9.677,1,0.0277,0.0312,0.00837,0.0809,0.973,141.694,154120,4
16,5fcxVCOtfesNzI2n4Y4kiJ,Jackson,Johnny Cash,album,1967-08-01,1960,64,0.741,0.615,0,-8.072,1,0.0358,0.519,0.000344,0.408,0.799,128.496,165827,4
17,7uEcCGtM1FBBGIhPozhJjv,Daydream Believer,The Monkees,album,1968-04-22,1960,69,0.51,0.488,7,-10.304,1,0.0304,0.256,0.0,0.11,0.649,125.683,179613,4
18,3VyJGPYr2DF9gdBNosSao4,Can't Find My Way Home,Blind Faith,album,1969-08,1960,61,0.519,0.337,2,-15.215,1,0.0333,0.887,0.0113,0.13,0.523,87.926,196133,4
19,6MOEQCtAWNSCmvg3SFKF5y,Season of the Witch,Donovan,album,1966-09,1960,65,0.516,0.513,2,-10.762,1,0.0288,0.159,0.00957,0.0612,0.694,99.735,293933,4
20,52vA3CYKZqZVdQnzRrdZt6,The Times They Are A-Changin',Bob Dylan,album,1964-01-13,1960,68,0.389,0.396,7,-7.999,1,0.0332,0.887,0.0,0.0828,0.585,171.86,192053,3
21,1UKobFsdqNXQb8OthimCKe,Helplessly Hoping - 2005 Remaster,"Crosby, Stills & Nash",album,1969-05-29,1960,67,0.567,0.159,7,-13.648,1,0.0331,0.914,0.0,0.111,0.436,146.913,157893,4
22,2PuUFT13yCzUOZun94WOXv,Suite: Judy Blue Eyes - 2005 Remaster,"Crosby, Stills & Nash",album,1969-05-29,1960,64,0.451,0.364,9,-13.126,1,0.0436,0.469,0.0,0.197,0.298,154.206,444053,4
23,2WOjLF83vqjit2Zh4B69V3,"Don't Think Twice, It's All Right",Bob Dylan,album,1963-05-27,1960,66,0.6,0.243,4,-17.085,1,0.0366,0.89,0.0022,0.249,0.468,110.535,217400,4
24,5bUlFE9dGh7pX93PUEVAue,Born On The Bayou,Creedence Clearwater Revival,album,1969-01-05,1960,59,0.678,0.386,9,-15.991,1,0.0464,0.0686,0.109,0.108,0.552,117.303,314667,4
25,1jcPcDu2YawPfLhwjYnqK2,"Everybody's Talkin' - From ""Midnight Cowboy""",Harry Nilsson,album,1968-07-01,1960,69,0.438,0.349,4,-15.569,1,0.038,0.338,5.7e-05,0.417,0.683,124.984,163587,4
26,6i8SZ4NIrYeyrbBOoRSC9z,"Cocaine Blues - Live at Folsom State Prison, Folsom, CA (1st Show) - January 1968",Johnny Cash,album,1968-05-02,1960,61,0.661,0.571,8,-12.317,1,0.103,0.27,0.0,0.98,0.826,122.396,169293,4
