,track_id,track_name,artist,album_type,release_date,decade,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,0LQtEJt7x0s6knb6RKdRYc,Chicken Fried,Zac Brown Band,album,2008-11-17,2000,77,0.566,0.713,6,-4.25,1,0.0418,0.645,0,0.114,0.805,169.861,238147,4
1,0ZUo4YjG4saFnEJhdWp9Bt,Before He Cheats,Carrie Underwood,album,2005-11-14,2000,77,0.519,0.749,6,-3.318,0,0.0405,0.271,0,0.119,0.29,147.905,199947,4
2,3EUl8M6SzxZl03NPkB8mUd,Neon Moon,Brooks & Dunn,album,2009-09-08,2000,75,0.698,0.632,9,-6.508,1,0.0247,0.554,0,0.118,0.458,102.408,263760,4
3,1KhrAWvLIjRlQIJtSTgvsi,Would You Go With Me,Josh Turner,album,2006,2000,74,0.605,0.864,6,-5.365,1,0.0292,0.13,0.000827,0.113,0.736,122.918,228187,4
4,7CNd7rjfVt74TFlcOcnZgN,In Color,Jamey Johnson,album,2008-01-01,2000,72,0.544,0.404,3,-8.751,1,0.0354,0.391,3.98e-06,0.157,0.251,129.518,290680,4
5,0PspNrE4MSjr1JeB4OW0jn,She's Country,Jason Aldean,album,2009-04-07,2000,70,0.553,0.872,1,-2.832,0,0.0782,0.198,0,0.0659,0.638,172.138,220573,4
6,3oW6SWwGqiZSPTiAp7ZQoH,It's A Great Day To Be Alive,Travis Tritt,album,2000-10-01,2000,71,0.595,0.653,7,-4.935,1,0.0265,0.246,0,0.264,0.542,128.93,241533,4
7,7GQjJEwqlp6m5HNWVQd6OR,Good Directions,Billy Currington,album,2005-01-01,2000,70,0.716,0.72,5,-2.183,1,0.0319,0.307,0,0.135,0.464,122.512,215853,4
8,4S518ci8UY4op0Xyp6Hx6o,Toes,Zac Brown Band,album,2008-11-17,2000,72,0.801,0.759,11,-5.398,1,0.0378,0.657,0,0.0897,0.821,129.971,262773,4
9,4YjjNHtEsTX6Af4mCTupT5,Bless The Broken Road,Rascal Flatts,album,2004-01-01,2000,72,0.591,0.45,0,-6.369,1,0.0266,0.671,2.23e-05,0.159,0.344,135.893,226680,4
10,4bVuIlGQBMWS7vIhcx8Ae4,What Hurts The Most,Rascal Flatts,album,2006-01-01,2000,71,0.537,0.674,5,-5.134,0,0.0277,0.0088,0,0.265,0.33,136.002,214107,4
11,18BajNiyvH6GpYshB0unrm,Should've Been A Cowboy,Toby Keith,album,2008-01-01,2000,70,0.585,0.793,7,-3.713,1,0.0322,0.351,0,0.3,0.732,133.839,208413,4
12,2Fs18NaCDuluPG1DHGw1XG,Life is a Highway,Rascal Flatts,album,2006-01-01,2000,76,0.582,0.952,5,-3.848,1,0.0731,0.00324,0,0.223,0.655,103.027,276320,4
13,1WzAeadSKJhqykZFbJNmQv,Your Man,Josh Turner,album,2006,2000,74,0.744,0.637,6,-4.483,1,0.0241,0.337,0.000222,0.0696,0.785,100.511,211893,4
14,7Fq9RwQxSn3kW85PrDUf0M,Boot Scootin' Boogie,Brooks & Dunn,album,2009-09-08,2000,71,0.656,0.817,11,-4.296,0,0.0435,0.22,0,0.304,0.862,130.448,198227,4
15,1msuiw6pnXYfxZ7Edyit9U,"Where Are You Christmas - From ""Dr. Seuss' How The Grinch Stole Christmas"" Soundtrack",Faith Hill,compilation,2000-01-01,2000,69,0.266,0.333,10,-9.876,1,0.031,0.59,0,0.121,0.0796,109.479,247040,4
16,5s7m2xNZWgz5FqVSIvJcGA,Save a Horse (Ride a Cowboy),Big & Rich,album,2004-04-20,2000,70,0.7,0.896,2,-2.276,1,0.191,0.108,0,0.453,0.817,102.065,200307,4
17,0r8iDf65NHgFgZOGLwj5r8,What Was I Thinkin',Dierks Bentley,album,2003-01-01,2000,69,0.551,0.825,5,-6.24,0,0.044,0.152,6.2e-06,0.0999,0.933,164.857,260827,4
18,0M7mWKqwTIaVjYyxfZmtTa,"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,album,2002-01-01,2000,68,0.424,0.661,2,-5.547,1,0.0425,0.521,1.62e-06,0.0719,0.384,111.762,195533,4
19,4KAzYqfcijCSZa2P3etHoM,Big Green Tractor,Jason Aldean,album,2009-04-07,2000,68,0.623,0.59,4,-5.014,1,0.028,0.646,0,0.295,0.579,137.071,204200,4
20,3duP6mBVDsHM8ioN7o7dAK,Boondocks,Little Big Town,album,2005-01-01,2000,68,0.41,0.78,9,-5.391,1,0.0332,0.211,0,0.48,0.695,88.016,272347,4
21,6IC6VhpV7D8T1t037Atqpu,Tequila Makes Her Clothes Fall Off,Joe Nichols,album,2005-01-01,2000,69,0.664,0.706,2,-7.045,1,0.027,0.129,1.06e-06,0.0857,0.681,93.968,187053,4
22,5JlH51YDYsGj2dyEJKKjcN,Alright,Darius Rucker,album,2008-01-01,2000,69,0.601,0.806,7,-4.579,1,0.0345,0.0527,0,0.185,0.711,89.87,231920,4
23,5OusUgzHz6Ulb3GZT7WUo5,Watching You,Rodney Atkins,album,2006-07-18,2000,69,0.625,0.848,2,-4.008,1,0.0314,0.105,0,0.23,0.716,137.993,235427,4
24,28cnXtME493VX9NOw9cIUh,Hurt,Johnny Cash,album,2002-01-01,2000,76,0.534,0.392,9,-7.636,0,0.0267,0.649,0.000227,0.0948,0.163,90.379,216533,4
25,0RFgvrhkf9FiDRLA0BhzpZ,Drift Away,Uncle Kracker,album,2002-07-09,2000,70,0.583,0.66,11,-5.078,1,0.0377,0.181,0,0.0979,0.861,151.956,255560,4
26,3dmqIB2Qxe2XZobw9gXxJ6,Mary Jane's Last Dance,Tom Petty and the Heartbreakers,compilation,2008-05-20,2000,73,0.464,0.655,7,-9.058,0,0.0608,0.0272,1.34e-06,0.328,0.531,169.515,273600,4
27,6TefPQD0oc88BNALpu4U87,Must Be Doin' Somethin' Right,Billy Currington,album,2005-01-01,2000,67,0.489,0.647,9,-3.424,1,0.027,0.205,0,0.0504,0.436,167.792,269587,4
28,7G6l2FtQyRhQgYgut2I6i8,As Good As I Once Was,Toby Keith,album,2005-01-01,2000,69,0.68,0.87,5,-4.461,1,0.0393,0.266,0,0.109,0.646,119.075,227840,4
29,7B1QliUMZv7gSTUGAfMRRD,Live Like You Were Dying,Tim McGraw,album,2004-08-17,2000,68,0.416,0.546,7,-7.728,1,0.0297,0.492,0,0.0845,0.418,159.929,300333,4
30,5JnLiuMgRAWoHYOhatFP3s,People Are Crazy,Billy Currington,album,2008-01-01,2000,67,0.651,0.699,5,-5.006,1,0.0265,0.213,0.000265,0.12,0.36,141.938,231360,4
31,4KoecuyOpZaNFZ0UqVsllc,Follow Me,Uncle Kracker,album,2000-06-13,2000,73,0.817,0.585,5,-4.688,1,0.0301,0.439,0,0.147,0.916,105.014,218440,4
32,09qzRI951OVkXGCc33gzcT,My Maria,Brooks & Dunn,album,2009-09-08,2000,68,0.673,0.842,3,-4.627,1,0.0366,0.06,0.000257,0.178,0.898,125.57,208107,4
33,02eD9ymfJOJOhM97HYp5R9,The House That Built Me,Miranda Lambert,album,2009-09-24,2000,67,0.525,0.3,5,-8.005,1,0.0286,0.578,8.3e-06,0.116,0.206,80.993,236627,4
34,3EZzghqykkfOB0Z8d0kTSt,Red Dirt Road,Brooks & Dunn,album,2003-07-15,2000,67,0.555,0.868,5,-3.798,1,0.0403,0.0664,0.000117,0.116,0.479,136.12,260360,4
35,4etE2X6t7GmyiuYLIdI8H5,Redneck Yacht Club,Craig Morgan,album,2005-03-08,2000,67,0.49,0.817,8,-5.405,1,0.0355,0.455,0,0.0885,0.808,168.115,230373,4
36,6Gfmj0HbpvxTdW0sdlzTDU,My Wish,Rascal Flatts,album,2006-01-01,2000,67,0.548,0.769,4,-4.853,1,0.0312,0.0307,5.53e-06,0.0867,0.388,135.712,248280,4
37,3z1PqYwMtct2Dm4R9lhWnT,Gunpowder & Lead,Miranda Lambert,album,2007-05-01,2000,66,0.333,0.907,0,-3.191,1,0.0959,0.153,0,0.395,0.353,187.826,191693,4
38,0jn2XqaHliEpWd04ZykIHy,Stay,Sugarland,album,2006-01-01,2000,66,0.549,0.284,4,-8.383,1,0.0388,0.774,0,0.105,0.389,135.632,284427,4
39,65B1tEOv5W294uCKbmEcFV,I Hope You Dance,Lee Ann Womack,album,2000-01-01,2000,67,0.385,0.443,7,-9.627,0,0.0295,0.0632,0,0.0898,0.275,151.278,294533,4
40,28Sc21lrWcZD9Ov4rRkPJq,Gettin' You Home,Chris Young,album,2009-09-01,2000,66,0.639,0.678,7,-5.02,1,0.0278,0.44,1.45e-06,0.221,0.531,106.966,212133,4
41,5wane5dFpp8xgriui6y0c7,Ol' Red,Blake Shelton,album,2001-07-31,2000,66,0.664,0.556,10,-7.713,1,0.0365,0.146,3.91e-06,0.113,0.494,75.049,221267,4
42,0qCQg5TkfBfkTsQP3IhAmC,Southside Of Heaven,Ryan Bingham,album,2007-10-02,2000,67,0.387,0.499,7,-10.207,1,0.0259,0.0029,0.00373,0.0695,0.333,111.032,379160,4
43,5vLonpxn4VN0A8GtQOBSG0,When the Sun Goes Down,Kenny Chesney,album,2004-01-22,2000,66,0.798,0.741,9,-6.802,1,0.0284,0.0432,3e-06,0.252,0.708,104.945,290560,4
44,4ZC8hXXqu2hPcDLw9QTdtQ,Smile,Uncle Kracker,album,2009-09-11,2000,68,0.541,0.812,4,-3.764,1,0.0336,0.203,0,0.42,0.607,141.056,201627,4
45,7E2DqvnVtbIrFrL5X6YH9Q,Beer For My Horses,Toby Keith,album,2002-01-01,2000,67,0.717,0.85,10,-5.329,1,0.0473,0.368,0,0.0495,0.805,119.005,204000,4
46,6NhpIdjYoufuNNlBsgOztc,Suds in the Bucket,Sara Evans,album,2003-08-17,2000,68,0.511,0.903,10,-3.163,1,0.0397,0.052,0.000529,0.304,0.898,161.992,227267,4
47,0Ta3jOf8m9yCSWMVwd8Qlf,International Harvester,Craig Morgan,album,2006-10-31,2000,67,0.699,0.837,2,-5.173,1,0.0428,0.103,0,0.231,0.348,95.493,228653,4
48,63u5QGp9dKXAoYTVKUKBYn,Watching Airplanes,Gary Allan,album,2007-01-01,2000,65,0.374,0.711,11,-3.587,1,0.0354,0.547,4.12e-05,0.147,0.468,160.001,242947,4
49,1YhFtqwcN138S6ng3MT1nN,Rain Is A Good Thing,Luke Bryan,album,2009-01-01,2000,66,0.622,0.932,11,-4.66,0,0.0498,0.105,2.37e-06,0.328,0.519,108.051,176160,4
50,7Efs0OIW6zgQyH7ehKZYpN,You're Gonna Miss This,Trace Adkins,compilation,2007-12-04,2000,65,0.5,0.665,8,-7.157,1,0.0355,0.0237,6.41e-05,0.0994,0.32,154.997,224960,4
51,1qHRFZE8qykNXYZadzmi1m,Give It Away,George Strait,album,2006-01-01,2000,65,0.674,0.646,5,-5.876,1,0.027,0.486,8.37e-05,0.262,0.613,148.1,209320,4
52,0b9djfiuDIMw1zKH6gV74g,Somebody Like You,Keith Urban,album,2002-01-01,2000,68,0.624,0.84,4,-5.768,1,0.0337,0.108,0.000546,0.144,0.656,111.02,323040,4
53,1ESipSqVefdknPg5IBKFND,Smoke A Little Smoke,Eric Church,album,2009-01-01,2000,65,0.77,0.641,10,-6.077,0,0.035,0.0206,0.00023,0.106,0.639,96.98,191333,4
54,0WB48shl2wAH4KqyQkQ8nJ,Brokenheartsville,Joe Nichols,album,2002-01-01,2000,65,0.686,0.631,10,-5.182,1,0.0232,0.126,0.000183,0.107,0.509,103.953,230360,4
