,track_id,track_name,artist,album_type,release_date,decade,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,0Xg68XXMRWzKQvD5S6BFvI,Dust On The Bottle,David Lee Murphy,album,1994-01-01,1990,70,0.736,0.614,11,-11.124,1,0.0389,5.84e-06,0.292,0.858,99.942,224667,4
1,6iy4PoAuZBMvtrlDX4VxC7,Check Yes Or No,George Strait,album,1995-01-01,1990,69,0.708,0.524,5,-12.644,1,0.0352,3.21e-06,0.0371,0.69,111.482,200667,4
2,59kHPbwyyCApYA8RQQEuXm,Chattahoochee,Alan Jackson,album,1992-10-09,1990,70,0.606,0.706,0,-9.665,1,0.0379,0.0,0.16,0.819,174.533,148160,4
3,0pdfN7nOHMYmKykzu1cyfm,Any Man Of Mine,Shania Twain,album,1995-01-01,1990,70,0.592,0.725,8,-8.698,1,0.0412,0.0,0.148,0.784,78.235,246760,4
4,6leiB1fEsTnVCuPiielde5,Something Like That,Tim McGraw,album,1999-05-04,1990,67,0.507,0.85,5,-5.679,1,0.0472,0.0,0.0567,0.847,171.8,183733,4
5,3rXCZRMiMZp0feGcYXpwYX,Cowboy Take Me Away,The Chicks,album,1999-08-27,1990,68,0.467,0.622,6,-7.255,1,0.031,0.00527,0.0982,0.455,164.418,287267,4
6,0NLBwQBYJhEM9t3KAMPFVR,Sold (The Grundy County Auction Incident),John Michael Montgomery,album,1995-03-17,1990,67,0.771,0.848,2,-7.365,1,0.035,0.0,0.35,0.803,115.642,152187,4
7,3Q9t1A12iUemHTAWnH7PjD,Watermelon Crawl,Tracy Byrd,album,1994-01-01,1990,67,0.759,0.723,0,-9.315,1,0.028,0.0,0.179,0.962,136.746,181973,4
8,1TanmIWbaUj5NVwJ3k4XPd,Write This Down,George Strait,album,1999-01-01,1990,66,0.729,0.688,3,-7.468,1,0.0264,9.44e-06,0.295,0.671,123.867,219600,4
9,6sxptembJVty4sNtcPMAVz,Man! I Feel Like A Woman!,Shania Twain,album,1997-11-04,1990,73,0.657,0.639,10,-7.527,1,0.0412,0.0,0.278,0.674,124.882,234493,4
10,3IvcWWehbBcBR4YZxlGM9R,"I Like It, I Love It",Tim McGraw,album,1995-08-15,1990,67,0.643,0.961,0,-5.298,1,0.0315,0.0,0.948,0.96,124.027,205707,4
11,7puxIVNdj5nsBJk43zM3bH,Carrying Your Love With Me,George Strait,album,1997-01-01,1990,65,0.629,0.479,10,-10.608,1,0.0271,0.0,0.0587,0.345,138.231,232427,4
12,7lUE02KHkZM44BZgjCaWRO,Meet In the Middle,Diamond Rio,album,1991-07-01,1990,65,0.746,0.443,4,-11.305,1,0.0359,0.0,0.223,0.554,91.11,198333,4
13,07KYRDFf8Q6sqj4PWCP9vh,It's Five O'Clock Somewhere,Alan Jackson,compilation,1991,1990,64,0.713,0.768,2,-6.702,1,0.0363,0.0,0.177,0.878,125.203,230267,4
14,2ulBBx6YQ3qY3ci34RadtN,She's In Love With The Boy - Single Version,Trisha Yearwood,album,1991-01-01,1990,65,0.783,0.698,3,-8.268,1,0.0323,2.52e-06,0.0754,0.758,124.996,248200,4
15,6cjwec9ii5uLK7CDfPBYt1,Wide Open Spaces,The Chicks,album,1998-01-27,1990,66,0.563,0.544,4,-6.102,1,0.0306,0.0,0.128,0.602,179.351,223832,4
